"","Order","Family","Genus","Body_size_mm","Reproductive_output_y","Offspring_size_min_mm","Offspring_size_max_mm","Habitat","Diel","Breeding"
"2651","Anura","Hylidae","Scinax"," 55.3000"," 1.00"," 1.00"," 1.50","Arb","Noc","Lar"
"2652","Anura","Hylidae","Scinax"," 49.1000"," 1.00"," 1.00"," 1.50","Arb","Noc","Lar"
"2654","Anura","Hylidae","Scinax"," 53.0000"," 1.00"," 1.08"," 2.09","Arb","Noc","Lar"
"2667","Anura","Hylidae","Scinax"," 39.9000"," 1.00"," 1.10"," 1.50","Arb","Crepu","Lar"
"2693","Anura","Hylidae","Scinax"," 45.0000"," 1.00"," 1.00"," 1.50","Arb","Noc","Lar"
"2696","Anura","Hylidae","Scinax"," 29.0000"," 1.00"," 1.00"," 1.00","Arb","Noc","Lar"
"2709","Anura","Hylidae","Smilisca"," 90.0000"," 1.00"," 1.30"," 1.30","Arb","Noc","Lar"
"2710","Anura","Hylidae","Smilisca"," 70.0000"," 1.00"," 1.20"," 1.32","Arb","Noc","Lar"
"2715","Anura","Hylidae","Smilisca"," 62.2000"," 1.00"," 2.40"," 2.40","Arb","Noc","Lar"
"2720","Anura","Hylidae","Sphaenorhynchus"," 23.0000"," 1.00"," 1.00"," 1.00","Arb","Noc","Lar"
"2721","Anura","Hylidae","Sphaenorhynchus"," 40.0000"," 1.00"," 1.00"," 2.30","Arb","Noc","Lar"
"2722","Anura","Hylidae","Sphaenorhynchus"," 48.0000"," 1.00"," 1.00"," 1.00","Arb","Noc","Lar"
"2742","Anura","Hylidae","Tlalocohyla"," 30.9000"," 1.00"," 2.00"," 2.00","Arb","Noc","Lar"
"2744","Anura","Hylidae","Trachycephalus"," 66.0000"," 1.00"," 2.00"," 2.00","Arb","Noc","Lar"
"2751","Anura","Hylidae","Trachycephalus"," 80.5000"," 1.00"," 1.20"," 1.90","Arb","Noc","Lar"
"2753","Anura","Hylidae","Trachycephalus"," 88.0000"," 1.00"," 1.60"," 1.60","Arb","Noc","Lar"
"2755","Anura","Hylidae","Triprion"," 75.2000"," 1.00"," 1.60"," 1.90","Arb","Noc","Lar"
"2767","Anura","Hylidae","Litoria"," 93.9000"," 1.00"," 1.40"," 2.50","Arb","Noc","Lar"
"2787","Anura","Hylidae","Litoria"," 70.0000"," 1.00"," 1.20"," 1.65","Arb","Noc","Lar"
"2792","Anura","Hylidae","Litoria"," 65.0000"," 1.00"," 1.65"," 1.80","Arb","Noc","Lar"
"2814","Anura","Hylidae","Litoria"," 85.0000"," 1.00"," 2.25"," 2.25","Arb","Noc","Lar"
"2819","Anura","Hylidae","Litoria"," 25.0000"," 1.00"," 1.00"," 1.00","Arb","Noc","Lar"
"2826","Anura","Hylidae","Litoria"," 85.0000"," 1.00"," 2.10"," 2.60","Arb","Noc","Lar"
"2839","Anura","Hylidae","Litoria","110.0000"," 1.00"," 1.20"," 3.00","Arb","Noc","Lar"
"2848","Anura","Hylidae","Litoria"," 70.0000"," 1.00"," 1.00"," 1.60","Arb","Noc","Lar"
"2854","Anura","Hylidae","Litoria"," 25.0000"," 1.00"," 2.00"," 2.40","Arb","Noc","Lar"
"2855","Anura","Hylidae","Litoria"," 35.0000"," 1.00"," 2.30"," 2.30","Arb","Noc","Lar"
"2877","Anura","Hylidae","Litoria"," 65.0000"," 1.00"," 2.70"," 3.40","Arb","Noc","Lar"
"2885","Anura","Hylidae","Litoria"," 30.0000"," 1.00"," 2.20"," 2.20","Arb","Noc","Lar"
"2892","Anura","Hylidae","Litoria"," 41.0000"," 1.00"," 1.20"," 1.40","Arb","Noc","Lar"
"2897","Anura","Hylidae","Litoria"," 55.7000"," 1.00"," 1.50"," 1.60","Arb","Noc","Lar"
"2910","Anura","Hylidae","Litoria"," 90.0000"," 1.00"," 1.30"," 1.30","Arb","Noc","Lar"
"2913","Anura","Hylidae","Litoria"," 50.0000"," 1.00"," 1.20"," 2.00","Arb","Noc","Lar"
"2932","Anura","Hylidae","Litoria"," 50.0000"," 1.00"," 2.10"," 2.10","Arb","Noc","Lar"
"2943","Anura","Hylidae","Litoria"," 30.0000"," 1.00"," 1.20"," 1.23","Arb","Noc","Lar"
"2946","Anura","Hylidae","Litoria"," 26.5000"," 1.00"," 1.20"," 1.20","Arb","Noc","Lar"
"2949","Anura","Hylidae","Litoria"," 70.0000"," 1.00"," 1.00"," 1.00","Ter","Noc","Lar"
"2952","Anura","Hylidae","Litoria"," 56.0000"," 1.00"," 1.45"," 1.45","Arb","Noc","Lar"
"2954","Anura","Hylidae","Agalychnis"," 84.2000"," 1.00"," 3.30"," 3.30","Arb","Noc","Lar"
"2957","Anura","Hylidae","Agalychnis"," 77.2000"," 1.00"," 3.20"," 3.20","Arb","Noc","Lar"
"2964","Anura","Hylidae","Agalychnis"," 85.0000"," 1.00"," 3.80"," 3.80","Arb","Noc","Lar"
"2966","Anura","Hylidae","Agalychnis"," 66.0000"," 1.00"," 5.00"," 5.00","Arb","Noc","Lar"
"2968","Anura","Hylidae","Cruziohyla"," 87.0000"," 1.00"," 3.80"," 4.00","Arb","Noc","Lar"
"2969","Anura","Hylidae","Cruziohyla"," 73.0000"," 1.00"," 4.00"," 4.00","Arb","Noc","Lar"
"2982","Anura","Hylidae","Phyllomedusa"," 49.0000"," 1.00"," 3.00"," 3.00","Ter","Noc","Lar"
"2993","Anura","Hylidae","Phyllomedusa"," 70.0000"," 1.00"," 2.60"," 2.60","Arb","Noc","Lar"
"2996","Anura","Hylidae","Phyllomedusa"," 46.0000"," 1.00"," 2.00"," 2.40","Arb","Noc","Lar"
"3005","Anura","Hylidae","Phyllomedusa"," 96.6000"," 1.00"," 2.30"," 2.80","Arb","Noc","Lar"
"3006","Anura","Hylidae","Phyllomedusa","112.0000"," 1.00"," 3.00"," 4.00","Arb","Noc","Lar"
"3007","Anura","Hylidae","Phyllomedusa"," 69.4000"," 1.00"," 2.90"," 2.90","Arb","Noc","Lar"
"3008","Anura","Hylidae","Phyllomedusa"," 62.3000"," 4.00"," 3.00"," 3.50","Arb","Noc","Lar"
"3010","Anura","Hylidae","Phyllomedusa"," 84.0000"," 1.00"," 2.00"," 2.50","Arb","Noc","Lar"
"3024","Anura","Hylodidae","Hylodes"," 44.9000"," 1.00"," 2.50"," 4.00","Arb","Diu","Lar"
"3054","Anura","Hyperoliidae","Acanthixalus"," 38.5000"," 1.00"," 2.00"," 4.00","Arb","Noc","Lar"
"3055","Anura","Hyperoliidae","Acanthixalus"," 38.3000"," 1.00"," 2.00"," 2.00","Arb","Noc","Lar"
"3060","Anura","Hyperoliidae","Afrixalus"," 38.0000"," 1.00"," 1.70"," 2.20","Arb","Noc","Lar"
"3064","Anura","Hyperoliidae","Afrixalus"," 40.0000"," 1.00"," 1.60"," 2.00","Arb","Noc","Lar"
"3097","Anura","Hyperoliidae","Heterixalus"," 29.0000"," 1.00"," 1.60"," 1.60","Arb","Crepu","Lar"
"3104","Anura","Hyperoliidae","Heterixalus"," 30.0000"," 1.00"," 1.50"," 1.50","Arb","Noc","Lar"
"3107","Anura","Hyperoliidae","Hyperolius"," 26.0000"," 1.00"," 0.70"," 1.20","Arb","Noc","Lar"
"3128","Anura","Hyperoliidae","Hyperolius"," 33.0000"," 1.00"," 1.50"," 1.50","Arb","Noc","Lar"
"3145","Anura","Hyperoliidae","Hyperolius"," 43.0000"," 1.00"," 2.00"," 2.00","Arb","Diu","Lar"
"3153","Anura","Hyperoliidae","Hyperolius"," 39.0000"," 1.00"," 1.50"," 1.50","Arb","Noc","Lar"
"3156","Anura","Hyperoliidae","Hyperolius"," 31.0000"," 1.00"," 1.60"," 1.60","Arb","Noc","Lar"
"3157","Anura","Hyperoliidae","Hyperolius"," 30.0000"," 1.00"," 1.60"," 1.90","Arb","Noc","Lar"
"3174","Anura","Hyperoliidae","Hyperolius"," 26.0000"," 1.00"," 1.00"," 1.00","Arb","Crepu","Lar"
"3177","Anura","Hyperoliidae","Hyperolius"," 35.0000"," 1.00"," 1.10"," 2.20","Arb","Noc","Lar"
"3194","Anura","Hyperoliidae","Hyperolius"," 43.0000"," 1.00"," 2.50"," 2.50","Arb","Noc","Lar"
"3213","Anura","Hyperoliidae","Hyperolius"," 28.0000"," 1.00"," 1.80"," 2.00","Arb","Noc","Lar"
"3224","Anura","Hyperoliidae","Hyperolius"," 36.0000"," 1.00"," 2.00"," 2.00","Arb","Noc","Lar"
"3225","Anura","Hyperoliidae","Hyperolius"," 40.0000"," 1.00"," 1.50"," 1.50","Arb","Noc","Lar"
"3228","Anura","Hyperoliidae","Hyperolius"," 34.0000"," 1.00"," 1.30"," 1.50","Arb","Noc","Lar"
"3237","Anura","Hyperoliidae","Kassina"," 42.0000"," 1.00"," 1.70"," 1.70","Arb","Crepu","Lar"
"3248","Anura","Hyperoliidae","Kassina"," 52.0000"," 1.00"," 1.60"," 1.80","Aqu","Crepu","Lar"
"3262","Anura","Leiopelmatidae","Ascaphus"," 56.0000"," 1.00"," 4.00"," 5.00","Aqu","Noc","Lar"
"3263","Anura","Leiopelmatidae","Ascaphus"," 50.0000"," 1.00"," 4.00"," 7.00","Aqu","Noc","Lar"
"3264","Anura","Leiopelmatidae","Leiopelma"," 38.0000"," 1.00"," 4.50"," 8.00","Aqu","Noc","Dir"
"3265","Anura","Leiopelmatidae","Leiopelma"," 47.0000"," 1.00"," 8.00","11.00","Aqu","Noc","Dir"
"3266","Anura","Leiopelmatidae","Leiopelma"," 47.0000"," 1.00"," 5.50"," 5.50","Arb","Noc","Dir"
"3269","Anura","Leiuperidae","Edalorhina"," 38.0000"," 1.00"," 2.00"," 2.10","Aqu","Diu","Lar"
"3274","Anura","Leiuperidae","Engystomops"," 39.0000"," 1.00"," 1.00"," 1.00","Ter","Noc","Lar"
"3279","Anura","Leiuperidae","Eupemphix"," 56.4000"," 1.00"," 1.20"," 1.60","Ter","Noc","Lar"
"3282","Anura","Leiuperidae","Physalaemus"," 34.1000"," 1.00"," 0.90"," 1.00","Aqu","Noc","Lar"
"3284","Anura","Leiuperidae","Physalaemus"," 26.8000"," 1.00"," 0.99"," 1.90","Aqu","Crepu","Lar"
"3290","Anura","Leiuperidae","Physalaemus"," 40.0000"," 1.00"," 0.80"," 1.20","Aqu","Noc","Lar"
"3293","Anura","Leiuperidae","Physalaemus"," 30.0100"," 1.00"," 1.20"," 1.20","Aqu","Crepu","Lar"
"3294","Anura","Leiuperidae","Physalaemus"," 36.5000"," 1.00"," 1.00"," 1.20","Arb","Crepu","Lar"
"3312","Anura","Leiuperidae","Physalaemus"," 39.0000"," 1.00"," 0.70"," 1.00","Ter","Noc","Lar"
"3317","Anura","Leiuperidae","Physalaemus"," 41.0000"," 1.00"," 1.10"," 1.40","Aqu","Noc","Lar"
"3324","Anura","Leiuperidae","Physalaemus"," 22.7000"," 1.00"," 1.00"," 1.80","Ter","Noc","Lar"
"3340","Anura","Leiuperidae","Pseudopaludicola"," 14.1000"," 1.00"," 0.20"," 0.40","Aqu","Crepu","Lar"
"3358","Anura","Leptodactylidae","Leptodactylus"," 49.0000"," 1.00"," 2.50"," 3.00","Arb","Diu","Lar"
"3359","Anura","Leptodactylidae","Leptodactylus"," 28.0000"," 1.00"," 3.00"," 3.00","Ter","Noc","Lar"
"3362","Anura","Leptodactylidae","Leptodactylus","120.0000"," 1.00"," 2.00"," 2.00","Aqu","Noc","Lar"
"3366","Anura","Leptodactylidae","Leptodactylus"," 82.0000"," 1.00"," 1.40"," 1.70","Arb","Noc","Lar"
"3371","Anura","Leptodactylidae","Leptodactylus"," 58.6000"," 1.00"," 2.00"," 2.00","Aqu","Noc","Lar"
"3373","Anura","Leptodactylidae","Leptodactylus"," 25.0000"," 1.00"," 2.40"," 3.00","Aqu","Crepu","Lar"
"3374","Anura","Leptodactylidae","Leptodactylus"," 35.0000"," 1.00"," 1.00"," 1.20","Aqu","Noc","Lar"
"3380","Anura","Leptodactylidae","Leptodactylus"," 44.0000"," 1.00"," 3.00"," 3.00","Aqu","Noc","Lar"
"3381","Anura","Leptodactylidae","Leptodactylus"," 46.0000"," 1.00"," 2.00"," 2.30","Aqu","Noc","Lar"
"3385","Anura","Leptodactylidae","Leptodactylus"," 30.0000"," 1.00"," 3.00"," 3.00","Aqu","Noc","Lar"
"3395","Anura","Leptodactylidae","Leptodactylus"," 49.0000"," 1.00"," 0.60"," 1.00","Aqu","Noc","Lar"
"3396","Anura","Leptodactylidae","Leptodactylus"," 56.0000"," 1.00"," 1.50"," 2.00","Ter","Noc","Lar"
"3403","Anura","Leptodactylidae","Leptodactylus"," 25.0000"," 1.00"," 1.55"," 5.50","Ter","Noc","Lar"
"3404","Anura","Leptodactylidae","Leptodactylus"," 25.0000"," 1.00"," 2.40"," 2.60","Ter","Diu","Lar"
"3405","Anura","Leptodactylidae","Leptodactylus"," 58.0000"," 1.00"," 1.30"," 1.30","Arb","Noc","Lar"
"3407","Anura","Leptodactylidae","Leptodactylus"," 60.0000"," 1.00"," 2.50"," 2.50","Aqu","Noc","Lar"
"3408","Anura","Leptodactylidae","Leptodactylus"," 65.0000"," 1.00"," 2.50"," 2.50","Aqu","Noc","Lar"
"3410","Anura","Leptodactylidae","Leptodactylus"," 44.0000"," 1.00"," 1.10"," 1.30","Aqu","Noc","Lar"
"3420","Anura","Leptodactylidae","Leptodactylus"," 54.0000"," 1.00"," 1.00"," 1.20","Aqu","Noc","Lar"
"3424","Anura","Leptodactylidae","Leptodactylus"," 90.0000"," 1.00"," 3.00"," 3.00","Aqu","Noc","Lar"
"3425","Anura","Leptodactylidae","Leptodactylus"," 90.0000"," 1.00"," 2.50"," 2.90","Arb","Noc","Lar"
"3436","Anura","Leptodactylidae","Leptodactylus"," 82.0000"," 1.00"," 2.30"," 3.40","Aqu","Crepu","Lar"
"3439","Anura","Leptodactylidae","Leptodactylus"," 53.6000"," 1.00"," 2.30"," 2.70","Aqu","Crepu","Lar"
"3445","Anura","Leptodactylidae","Leptodactylus"," 78.0000"," 1.00"," 1.00"," 1.50","Arb","Noc","Lar"
"3456","Anura","Limnodynastidae","Heleioporus"," 97.0000"," 1.00"," 2.50"," 2.60","Aqu","Noc","Lar"
"3472","Anura","Limnodynastidae","Limnodynastes"," 72.8000"," 1.00"," 1.50"," 1.50","Arb","Noc","Lar"
"3479","Anura","Limnodynastidae","Neobatrachus"," 62.2000"," 1.00"," 1.60"," 1.60","Aqu","Noc","Lar"
"3482","Anura","Limnodynastidae","Neobatrachus"," 40.0000"," 1.00"," 2.20"," 2.20","Aqu","Noc","Lar"
"3493","Anura","Limnodynastidae","Philoria"," 28.0000"," 1.00"," 3.10"," 3.10","Arb","Crepu","Lar"
"3494","Anura","Limnodynastidae","Philoria"," 37.0000"," 1.00"," 3.10"," 3.25","Arb","Diu","Lar"
"3495","Anura","Limnodynastidae","Platyplectrum"," 45.0000"," 1.00"," 1.20"," 1.20","Aqu","Noc","Lar"
"3496","Anura","Limnodynastidae","Platyplectrum"," 50.0000"," 1.00"," 1.35"," 1.35","Ter","Noc","Lar"
"3497","Anura","Mantellidae","Boophis"," 93.0000"," 1.00"," 2.00"," 2.50","Arb","Noc","Lar"
"3513","Anura","Mantellidae","Boophis"," 52.4000"," 1.00"," 0.90"," 1.60","Arb","Noc","Lar"
"3519","Anura","Mantellidae","Boophis"," 80.0000"," 1.00"," 2.00"," 2.00","Arb","Noc","Lar"
"3537","Anura","Mantellidae","Boophis"," 37.7000"," 1.00"," 1.70"," 1.70","Arb","Noc","Lar"
"3548","Anura","Mantellidae","Boophis"," 34.0000"," 1.00"," 2.00"," 2.00","Arb","Noc","Lar"
"3576","Anura","Mantellidae","Blommersia"," 20.3000"," 1.00"," 1.30"," 1.70","Arb","Crepu","Lar"
"3619","Anura","Mantellidae","Guibemantis"," 29.0000"," 1.00"," 1.90"," 1.90","Arb","Crepu","Lar"
"3620","Anura","Mantellidae","Guibemantis"," 45.0000"," 1.00"," 2.30"," 3.00","Arb","Noc","Lar"
"3628","Anura","Mantellidae","Mantella"," 31.0000"," 1.00"," 1.80"," 1.80","Aqu","Diu","Lar"
"3703","Anura","Megophryidae","Leptobrachium"," 86.1000"," 1.00"," 3.00"," 3.00","Aqu","Noc","Lar"
"3744","Anura","Megophryidae","Leptolalax"," 32.7000"," 1.00"," 1.40"," 1.60","Ter","Noc","Lar"
"3763","Anura","Megophryidae","Ophryophryne"," 47.3000"," 1.00"," 1.80"," 1.80","Arb","Noc","Lar"
"3766","Anura","Megophryidae","Oreolalax"," 58.4000"," 1.00"," 3.00"," 4.00","Arb","Noc","Lar"
"3815","Anura","Megophryidae","Xenophrys","100.0000"," 1.00"," 2.30"," 2.30","Arb","Crepu","Lar"
"3857","Anura","Microhylidae","Arcovomer"," 25.6000"," 1.00"," 1.40"," 1.80","Aqu","Noc","Lar"
"3863","Anura","Microhylidae","Myersiella"," 40.0000"," 1.00"," 2.20"," 4.00","Aqu","Noc","Dir"
"3868","Anura","Microhylidae","Synapturanus"," 42.0000"," 1.00"," 4.00"," 4.90","Aqu","Noc","Lar"
"3870","Anura","Microhylidae","Synapturanus"," 35.0000"," 1.00"," 4.00"," 4.00","Aqu","Noc","Lar"
"3871","Anura","Microhylidae","Syncope"," 14.0000"," 1.00"," 1.20"," 2.00","Arb","Noc","Dir"
"3984","Anura","Microhylidae","Cophixalus"," 33.1000"," 1.00"," 3.00"," 4.00","Arb","Noc","Dir"
"4018","Anura","Microhylidae","Hylophorbus"," 42.0000"," 1.00"," 5.40"," 5.40","Aqu","Noc","Dir"
"4027","Anura","Microhylidae","Liophryne"," 43.0000"," 1.00"," 2.50"," 2.50","Aqu","Noc","Dir"
"4152","Anura","Microhylidae","Plethodontohyla"," 34.4000"," 1.00"," 3.00"," 3.00","Arb","Noc","Lar"
"4187","Anura","Microhylidae","Chiasmocleis"," 29.9000"," 1.00"," 1.00"," 1.00","Aqu","Noc","Lar"
"4204","Anura","Microhylidae","Chiasmocleis"," 32.0000"," 1.00"," 1.00"," 1.00","Aqu","Noc","Lar"
"4206","Anura","Microhylidae","Chiasmocleis"," 34.0000"," 1.00"," 1.50"," 2.00","Aqu","Noc","Lar"
"4207","Anura","Microhylidae","Ctenophryne"," 54.0000"," 1.00"," 1.00"," 2.00","Aqu","Crepu","Lar"
"4211","Anura","Microhylidae","Elachistocleis"," 43.0000"," 1.00"," 1.00"," 1.10","Aqu","Noc","Lar"
"4215","Anura","Microhylidae","Elachistocleis"," 37.6000"," 1.00"," 2.50"," 2.50","Aqu","Noc","Lar"
"4224","Anura","Microhylidae","Gastrophryne"," 38.0000"," 1.00"," 1.20"," 1.20","Aqu","Noc","Lar"
"4226","Anura","Microhylidae","Gastrophryne"," 41.0000"," 1.00"," 0.90"," 0.90","Aqu","Noc","Lar"
"4229","Anura","Microhylidae","Hamptophryne"," 44.0000"," 1.00"," 1.00"," 1.50","Aqu","Noc","Lar"
"4272","Anura","Microhylidae","Kaloula"," 70.0000"," 1.00"," 1.30"," 1.30","Ter","Noc","Lar"
"4281","Anura","Microhylidae","Microhyla"," 22.6000"," 1.00"," 1.00"," 1.00","Aqu","Noc","Lar"
"4291","Anura","Microhylidae","Microhyla"," 30.4000"," 1.00"," 0.70"," 1.20","Aqu","Noc","Lar"
"4295","Anura","Microhylidae","Microhyla"," 23.1000"," 1.00"," 1.10"," 1.10","Ter","Noc","Lar"
"4326","Anura","Microhylidae","Otophryne"," 48.0000"," 1.00"," 4.50"," 4.50","Aqu","Diu","Lar"
"4329","Anura","Microhylidae","Phrynomantis"," 75.0000"," 1.00"," 1.30"," 1.30","Aqu","Noc","Lar"
"4330","Anura","Microhylidae","Phrynomantis"," 62.0000"," 1.00"," 1.60"," 3.00","Arb","Crepu","Lar"
"4332","Anura","Microhylidae","Paradoxophyla"," 25.6000"," 1.00"," 1.00"," 1.00","Aqu","Noc","Lar"
"4336","Anura","Microhylidae","Scaphiophryne"," 33.0000"," 1.00"," 1.00"," 1.00","Aqu","Noc","Lar"
"4341","Anura","Microhylidae","Scaphiophryne"," 48.3000"," 1.00"," 1.40"," 1.70","Arb","Noc","Lar"
"4342","Anura","Myobatrachidae","Arenophryne"," 33.0000"," 1.00"," 5.00"," 6.00","Aqu","Noc","Dir"
"4344","Anura","Myobatrachidae","Assa"," 30.0000"," 1.00"," 2.50"," 2.50","Aqu","Crepu","Lar"
"4348","Anura","Myobatrachidae","Crinia"," 45.0000"," 1.00"," 2.24"," 2.24","Aqu","Noc","Lar"
"4356","Anura","Myobatrachidae","Crinia"," 32.0000"," 1.00"," 1.50"," 1.62","Aqu","Noc","Lar"
"4371","Anura","Myobatrachidae","Mixophyes","104.0000"," 1.00"," 3.80"," 3.80","Ter","Noc","Lar"
"4373","Anura","Myobatrachidae","Mixophyes"," 80.0000"," 1.00"," 2.50"," 4.50","Aqu","Noc","Lar"
"4376","Anura","Myobatrachidae","Mixophyes"," 90.0000"," 1.00"," 2.65"," 2.65","Aqu","Noc","Lar"
"4380","Anura","Myobatrachidae","Pseudophryne"," 36.0000"," 1.00"," 2.05"," 2.10","Aqu","Noc","Lar"
"4384","Anura","Myobatrachidae","Pseudophryne"," 35.0000"," 1.00"," 2.20"," 2.20","Aqu","Noc","Lar"
"4391","Anura","Myobatrachidae","Pseudophryne"," 30.0000"," 1.00"," 2.30"," 2.30","Aqu","Noc","Lar"
"4392","Anura","Myobatrachidae","Rheobatrachus"," 54.0000"," 1.00"," 4.70"," 5.10","Aqu","Noc","Dir"
"4394","Anura","Myobatrachidae","Spicospina"," 35.0000"," 1.00"," 2.30"," 2.90","Aqu","Noc","Lar"
"4395","Anura","Myobatrachidae","Taudactylus"," 30.0000"," 1.00"," 2.20"," 2.70","Aqu","Diu","Lar"
"4396","Anura","Myobatrachidae","Taudactylus"," 30.0000"," 1.00"," 2.20"," 2.20","Aqu","Diu","Lar"
"4397","Anura","Myobatrachidae","Taudactylus"," 30.0000"," 1.00"," 2.20"," 2.60","Aqu","Noc","Lar"
"4411","Anura","Myobatrachidae","Uperoleia"," 32.0000"," 1.00"," 1.30"," 1.30","Aqu","Noc","Lar"
"4445","Anura","Pelobatidae","Pelobates","110.0000"," 1.00"," 2.00"," 2.00","Aqu","Noc","Lar"
"4446","Anura","Pelobatidae","Pelobates"," 80.0000"," 1.00"," 1.70"," 2.00","Aqu","Noc","Lar"
"4447","Anura","Pelobatidae","Pelobates"," 90.0000"," 1.00"," 1.40"," 1.70","Aqu","Noc","Lar"
"4448","Anura","Pelobatidae","Pelobates"," 70.0000"," 1.00"," 1.15"," 2.00","Aqu","Noc","Lar"
"4450","Anura","Pelodytidae","Pelodytes"," 40.7200"," 1.00"," 1.00"," 1.45","Aqu","Noc","Lar"
"4451","Anura","Pelodytidae","Pelodytes"," 50.0000"," 2.00"," 2.00"," 2.00","Aqu","Noc","Lar"
"4456","Anura","Petropedetidae","Conraua","320.0000"," 1.00"," 3.40"," 3.50","Aqu","Noc","Lar"
"4522","Anura","Phrynobatrachidae","Phrynobatrachus"," 40.0000"," 1.00"," 1.00"," 2.50","Aqu","Noc","Lar"
"4530","Anura","Phrynobatrachidae","Phrynobatrachus"," 23.0000"," 1.00"," 1.20"," 1.20","Aqu","Noc","Lar"
"4544","Anura","Phrynobatrachidae","Phrynobatrachus"," 20.5000"," 1.00"," 3.20"," 3.20","Aqu","Diu","Dir"
"4552","Anura","Pipidae","Hymenochirus"," 35.0000"," 1.00"," 0.90"," 0.90","Arb","Crepu","Lar"
"4556","Anura","Pipidae","Pipa"," 57.0000"," 1.00"," 1.00"," 1.00","Aqu","Noc","Dir"
"4561","Anura","Pipidae","Pipa","171.0000"," 1.00"," 6.00"," 6.00","Aqu","Noc","Dir"
"4574","Anura","Pipidae","Xenopus","147.0000"," 1.00"," 1.00"," 1.40","Arb","Noc","Lar"
"4586","Anura","Ptychadenidae","Hildebrandtia"," 70.0000"," 1.00"," 3.30"," 3.30","Aqu","Noc","Lar"
"4612","Anura","Ptychadenidae","Ptychadena"," 72.0000"," 1.00"," 1.10"," 1.10","Arb","Noc","Lar"
"4634","Anura","Ptychadenidae","Ptychadena"," 60.0000"," 1.00"," 4.00"," 4.00","Arb","Noc","Lar"
"4639","Anura","Pyxicephalidae","Amietia","110.0000"," 1.00"," 1.50"," 1.50","Aqu","Diu","Lar"
"4642","Anura","Pyxicephalidae","Amietia","125.0000"," 1.00"," 1.50"," 1.50","Aqu","Diu","Lar"
"4690","Anura","Pyxicephalidae","Tomopterna"," 64.0000"," 1.00"," 1.50"," 1.50","Aqu","Noc","Lar"
"4703","Anura","Pyxicephalidae","Pyxicephalus","236.0000"," 1.00"," 2.00"," 2.00","Aqu","Diu","Lar"
"4714","Anura","Ranidae","Amolops"," 40.6000"," 1.00"," 3.30"," 3.60","Arb","Noc","Lar"
"4730","Anura","Ranidae","Amolops"," 75.0000"," 1.00"," 1.70"," 2.30","Arb","Crepu","Lar"
"4798","Anura","Ranidae","Hylarana"," 86.0000"," 1.00"," 1.70"," 1.70","Aqu","Noc","Lar"
"4802","Anura","Ranidae","Hylarana"," 63.5000"," 1.00"," 1.00"," 1.30","Arb","Noc","Lar"
"4822","Anura","Ranidae","Hylarana"," 75.0000"," 1.00"," 0.70"," 1.00","Aqu","Noc","Lar"
"4853","Anura","Ranidae","Hylarana"," 40.0000"," 1.00"," 1.20"," 1.20","Aqu","Diu","Lar"
"4854","Anura","Ranidae","Hylarana"," 79.4000"," 1.00"," 1.30"," 2.50","Aqu","Crepu","Lar"
"4859","Anura","Ranidae","Lithobates","110.0000"," 1.00"," 2.00"," 3.00","Aqu","Noc","Lar"
"4865","Anura","Ranidae","Lithobates","203.0000"," 1.00"," 1.70"," 2.50","Aqu","Noc","Lar"
"4868","Anura","Ranidae","Lithobates"," 87.0000"," 1.00"," 1.50"," 1.50","Aqu","Noc","Lar"
"4887","Anura","Ranidae","Lithobates","126.0000"," 1.00"," 2.00"," 2.00","Aqu","Noc","Lar"
"4893","Anura","Ranidae","Lithobates"," 76.0000"," 1.00"," 1.70"," 1.70","Aqu","Noc","Lar"
"4894","Anura","Ranidae","Lithobates","105.0000"," 1.00"," 1.70"," 2.20","Aqu","Diu","Lar"
"4903","Anura","Ranidae","Lithobates"," 92.0000"," 1.00"," 2.50"," 2.50","Aqu","Noc","Lar"
"4909","Anura","Ranidae","Meristogenys"," 88.7000"," 1.00"," 1.30"," 1.30","Aqu","Noc","Lar"
"4910","Anura","Ranidae","Meristogenys"," 92.8000"," 1.00"," 2.50"," 2.50","Arb","Noc","Lar"
"4936","Anura","Ranidae","Odorrana","100.0000"," 2.00"," 1.90"," 1.90","Arb","Noc","Lar"
"4964","Anura","Ranidae","Odorrana"," 60.0000"," 1.00"," 2.50"," 3.30","Arb","Noc","Lar"
"4973","Anura","Ranidae","Pelophylax"," 80.0000"," 1.00"," 7.00"," 7.00","Aqu","Noc","Lar"
"4984","Anura","Ranidae","Pelophylax","120.0000"," 1.00"," 2.00"," 2.00","Arb","Noc","Lar"
"4985","Anura","Ranidae","Pelophylax"," 90.8000"," 1.00"," 2.20"," 2.20","Aqu","Diu","Lar"
"4986","Anura","Ranidae","Pelophylax"," 86.0000"," 1.00"," 2.00"," 2.00","Aqu","Noc","Lar"
"4989","Anura","Ranidae","Pelophylax","105.6000"," 1.00"," 1.90"," 2.00","Aqu","Noc","Lar"
"5010","Anura","Ranidae","Rana"," 95.0000"," 1.00"," 2.00"," 3.00","Arb","Noc","Lar"
"5013","Anura","Ranidae","Rana"," 80.0000"," 1.00"," 2.80"," 3.50","Arb","Noc","Lar"
"5016","Anura","Ranidae","Rana"," 70.0000"," 1.00"," 0.40"," 0.40","Arb","Noc","Lar"
"5022","Anura","Ranidae","Rana"," 75.0000"," 1.00"," 1.80"," 1.80","Arb","Noc","Lar"
